tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0011216,movie,Spanish Fiesta,La fête espagnole,0,2019,\N,67,Drama
tt0011801,movie,Tötet nicht mehr,Tötet nicht mehr,0,2019,\N,\N,"Action,Crime"
tt0016906,movie,Frivolinas,Frivolinas,0,2014,\N,80,"Comedy,Musical"
tt0019996,movie,Hongxia,Hongxia,0,2011,\N,94,Action
tt0062336,movie,El Tango del Viudo y Su Espejo Deformante,El Tango del Viudo y Su Espejo Deformante,0,2020,\N,70,Drama
tt0065392,movie,Bucharest Memories,Amintiri bucurestene,0,2020,\N,\N,Documentary
tt0069049,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,\N,122,Drama
tt0093119,movie,Grizzly II: Revenge,Grizzly II: The Predator,0,2020,\N,74,"Horror,Music,Thriller"
tt0100275,movie,The Wandering Soap Opera,La Telenovela Errante,0,2017,\N,80,"Comedy,Drama,Fantasy"
tt0111414,movie,A Thin Life,A Thin Life,0,2018,\N,75,Comedy
tt0112502,movie,Bigfoot,Bigfoot,0,2017,\N,\N,"Horror,Thriller"
tt0114978,movie,Derevyannaya komnata,Derevyannaya komnata,0,2017,\N,65,Drama
tt0116991,movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2019,\N,101,Drama
tt0125742,movie,"FVVA: Femme, villa, voiture, argent","FVVA: Femme, villa, voiture, argent",0,2010,\N,75,\N
tt0137204,movie,Joe Finds Grace,Joe Finds Grace,0,2017,\N,83,"Adventure,Animation,Comedy"
tt0137818,movie,Housesitter: The Night They Saved Siegfried's Brain,Housesitter: The Night They Saved Siegfried's Brain,0,2018,\N,95,\N
tt0139613,movie,O Silêncio,O Silêncio,0,2012,\N,\N,"Documentary,History"
tt0140392,movie,Mozart in Love,Mozart in Love,0,2018,\N,99,"Biography,Comedy,Drama"
tt0143920,movie,Los tallos amargos,Los tallos amargos,0,2016,\N,90,"Crime,Drama"
tt0144449,movie,Nema aviona za Zagreb,Nema aviona za Zagreb,0,2012,\N,82,Biography
tt0146592,movie,Pál Adrienn,Pál Adrienn,0,2010,\N,136,Drama
tt0154039,movie,So Much for Justice!,Oda az igazság,0,2010,\N,100,"Drama,History"
tt0159369,movie,Cooper and Hemingway: The True Gen,Cooper and Hemingway: The True Gen,0,2013,\N,180,Documentary
tt0162942,movie,Children of the Green Dragon,A zöld sárkány gyermekei,0,2010,\N,89,Drama
tt0170155,movie,A Letter from Beirut,A Letter from Beirut,0,2019,\N,50,Documentary
tt0170651,movie,TGM the Liberator,T.G.M. - osvoboditel,0,2018,\N,60,Documentary
tt0176694,movie,The Tragedy of Man,Az ember tragédiája,0,2011,\N,160,"Animation,Drama,History"
tt0178691,movie,Het land van mijn ouders,Het land van mijn ouders,0,2010,\N,97,Documentary
tt0184221,movie,Appunti per un film sul Jazz,Appunti per un film sul Jazz,0,2015,\N,\N,\N
tt0187902,movie,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,0,2011,\N,\N,\N
tt0188299,movie,Heroic Sons and Daughters,Ying xiong er nü,0,2020,\N,\N,War
tt0191476,movie,Fed Up,Soapte de amor,0,2015,\N,93,Comedy
